TempCli,renda,tot_emprestimo_liquidado,tot_emprestimo_ativo,carteira,tot_parcela_ativa_em_dia,tot_parcela_ativa_atrasada,tot_parcela_pago_em_dia,atraso_min,atraso_mid,atraso_max,class
49,2000.00,2,1,15461.4400000,40,0,23,7,0,0,Bom
121,3966.66,1,1,8006.6000000,4,0,10,2,0,0,Bom
23,4629.79,1,0,0.0000000,0,0,9,3,0,0,Bom
105,415.00,1,0,0.0000000,0,0,22,14,0,0,Bom
96,580.00,1,0,0.0000000,0,0,4,4,0,0,Bom
78,622.00,1,0,0.0000000,0,0,18,6,0,0,Bom
100,4800.00,0,2,5486.4300000,6,0,5,3,0,0,Bom
22,6758.33,2,3,15411.6200000,80,3,15,28,0,0,Bom
98,465.00,1,0,0.0000000,0,0,6,18,0,0,Bom
36,1900.00,2,0,0.0000000,0,0,17,5,0,0,Bom
13,4950.00,3,1,32645.8900000,1,0,0,5,0,0,Bom
145,800.00,1,0,0.0000000,0,0,1,0,0,0,Bom
58,2500.00,2,1,13768.0200000,28,0,61,7,0,0,Bom
54,1430.00,1,1,12001.9600000,26,0,43,15,0,0,Bom
61,622.00,1,0,0.0000000,0,0,15,3,0,0,Bom
51,1250.00,1,0,0.0000000,0,0,1,0,0,0,Bom
143,6880.00,1,1,2251.6100000,1,0,11,1,0,0,Bom
66,4796.00,0,1,3650.2200000,5,0,2,0,0,0,Bom
164,4703.67,4,2,14024.9700000,1,0,10,0,0,0,Bom
89,10307.83,0,1,2251.6100000,1,0,6,1,0,0,Bom
88,2500.00,1,0,0.0000000,0,0,2,34,0,0,Bom
164,800.00,2,0,0.0000000,0,0,0,3,0,0,Bom
132,1976.74,8,1,91.1100000,2,0,107,12,0,0,Bom
144,800.00,1,0,0.0000000,0,0,4,10,0,0,Bom
113,3750.00,12,3,19856.9200000,10,0,24,3,0,0,Bom
152,1583.33,6,0,0.0000000,0,0,7,6,0,0,Bom
123,1129.51,36,0,0.0000000,0,0,70,64,6,4,Bom
47,4270.00,1,0,0.0000000,0,0,5,5,0,0,Bom
108,415.00,2,0,0.0000000,0,0,70,14,0,0,Bom
52,1250.00,1,0,0.0000000,0,0,5,19,0,0,Bom
105,5133.33,1,0,0.0000000,0,0,35,1,0,0,Bom
115,380.00,1,0,0.0000000,0,0,2,2,1,0,Bom
82,6745.84,1,0,0.0000000,0,0,23,1,0,0,Bom
104,666.67,4,0,0.0000000,0,0,6,0,0,0,Bom
81,2626.67,1,0,0.0000000,0,0,29,7,0,0,Bom
116,10749.99,0,1,21371.7300000,7,0,0,3,0,0,Bom
113,2000.00,1,0,0.0000000,0,0,0,1,0,0,Bom
116,1839.92,2,1,9473.9900000,1,0,2,0,0,0,Bom
106,415.00,2,0,0.0000000,0,0,0,6,0,1,Bom
128,1300.00,1,0,0.0000000,0,0,4,0,0,0,Bom
55,3616.67,0,2,6194.3500000,7,0,5,3,0,0,Bom
81,933.33,2,0,0.0000000,0,0,52,8,0,0,Bom
116,2200.50,6,0,0.0000000,0,0,13,5,1,2,Bom
83,800.00,2,0,0.0000000,0,0,28,7,0,0,Bom
128,1650.00,4,0,0.0000000,0,0,11,58,0,0,Bom
56,833.33,1,0,0.0000000,0,0,48,0,0,0,Bom
133,2600.00,3,3,33870.7100000,34,0,66,23,0,0,Bom
109,380.00,1,0,0.0000000,0,0,72,0,0,0,Bom
107,1622.67,2,0,0.0000000,0,0,26,1,0,0,Bom
85,625.00,2,0,0.0000000,0,0,36,36,0,0,Bom
95,15041.67,5,1,49463.6800000,1,0,14,3,0,0,Bom
106,750.00,1,0,0.0000000,0,0,14,19,1,2,Bom
94,14431.67,1,1,0.0000000,1,0,17,7,0,0,Bom
39,2300.00,1,1,3376.8200000,28,0,16,16,0,0,Bom
30,29307.83,0,3,15960.6200000,32,1,4,18,0,0,Bom
83,10000.00,12,0,0.0000000,0,0,46,46,0,1,Bom
71,937.00,3,0,0.0000000,0,0,44,4,0,0,Bom
18,2714.00,0,1,30379.6900000,19,0,17,0,0,0,Bom
93,3530.00,0,2,40591.1000000,6,0,7,5,0,0,Bom
94,2650.00,17,4,15011.0200000,42,0,150,28,0,0,Bom
116,5095.00,5,5,26189.6700000,58,0,107,36,0,0,Bom
83,1890.00,6,0,0.0000000,0,0,61,38,0,0,Bom
83,8166.66,6,1,16423.1500000,1,0,6,0,0,0,Bom
85,7900.00,2,2,11491.1200000,6,0,88,4,0,0,Bom
66,3008.33,3,0,0.0000000,0,0,47,2,0,0,Bom
106,1753.33,2,1,4450.1100000,4,0,5,2,0,0,Bom
74,767.00,2,0,0.0000000,0,0,32,28,0,0,Bom
106,415.00,2,0,0.0000000,0,0,11,13,0,0,Bom
55,2462.50,1,1,5896.1300000,6,0,3,5,0,0,Bom
23,8470.84,0,1,16936.6200000,1,0,0,0,0,0,Bom
96,465.00,2,0,0.0000000,0,0,24,24,0,0,Bom
33,1500.00,1,0,0.0000000,0,0,23,1,0,0,Bom
115,3062.50,1,2,16768.6300000,7,0,68,14,0,0,Bom
87,1376.00,4,2,13572.4300000,63,0,133,20,0,0,Bom
88,1870.96,3,0,0.0000000,0,0,54,18,0,0,Bom
81,510.00,1,0,0.0000000,0,0,29,1,0,0,Bom
108,833.33,2,0,0.0000000,0,0,12,72,0,0,Bom
14,1411.82,0,1,9770.8900000,35,0,10,3,0,0,Bom
83,2505.29,10,4,22612.7900000,97,0,198,9,0,0,Bom
22,1180.00,0,1,2802.2200000,14,0,7,13,2,0,Bom
37,750.00,1,0,0.0000000,0,0,5,0,0,0,Bom
58,2300.00,1,0,0.0000000,0,0,21,15,0,0,Bom
55,8375.00,4,0,0.0000000,0,0,48,2,0,0,Bom
89,3750.00,2,0,0.0000000,0,0,14,23,0,0,Bom
155,800.00,1,0,0.0000000,0,0,30,1,0,0,Bom
49,2258.14,1,1,7226.3000000,13,1,2,15,0,0,Bom
49,6029.17,4,1,1101.7900000,3,0,16,21,0,0,Bom
69,1300.00,1,1,1294.0400000,6,0,14,52,0,0,Bom
121,800.00,1,0,0.0000000,0,0,3,3,0,0,Bom
96,13440.00,17,4,100700.7400000,62,0,29,6,0,0,Bom
51,9500.00,0,2,24037.3700000,17,1,25,6,0,0,Bom
51,1800.00,2,1,1972.1100000,5,0,41,50,0,0,Bom
32,724.00,1,0,0.0000000,0,0,0,14,1,0,Bom
121,916.67,5,0,0.0000000,0,0,7,3,0,0,Bom
51,688.00,1,0,0.0000000,0,0,33,15,0,0,Bom
99,415.00,1,0,0.0000000,0,0,4,3,0,0,Bom
75,750.00,1,0,0.0000000,0,0,11,13,0,0,Bom
82,1504.67,2,0,0.0000000,0,0,1,1,0,0,Bom
163,800.00,11,0,0.0000000,0,0,11,1,0,0,Bom
88,1462.50,2,0,0.0000000,0,0,20,4,0,0,Bom
39,2400.00,3,0,0.0000000,0,0,12,31,0,0,Bom
78,4166.67,2,0,0.0000000,0,0,21,39,0,0,Bom
55,6147.50,5,0,0.0000000,0,0,31,22,4,0,Bom
19,3000.00,1,1,3702.3500000,6,0,53,13,0,0,Bom
27,1250.00,0,2,7238.1300000,32,0,25,15,0,0,Bom
93,28458.34,14,3,29075.0500000,10,0,24,5,0,0,Bom
1,2070.00,0,1,6495.6900000,35,0,1,0,0,0,Bom
153,800.00,2,0,0.0000000,0,0,0,0,0,0,Ruim
171,1000.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
116,546.67,0,1,0.0000000,0,29,0,1,2,16,Ruim
166,800.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
171,1000.00,2,0,0.0000000,0,0,10,21,1,3,Ruim
78,6875.00,0,1,0.0000000,0,1,0,0,0,0,Ruim
166,8333.33,1,0,0.0000000,0,0,1,2,0,0,Ruim
163,800.00,1,0,0.0000000,0,0,4,3,0,0,Ruim
134,2737.00,1,0,0.0000000,0,0,3,1,0,0,Ruim
165,1.00,2,0,0.0000000,0,0,0,0,0,0,Ruim
92,0.01,0,1,0.0000000,0,1,0,0,0,0,Ruim
161,800.00,1,0,0.0000000,0,0,1,2,0,0,Ruim
152,1583.33,1,0,0.0000000,0,0,3,1,0,0,Ruim
123,1129.51,2,0,0.0000000,0,0,4,9,0,0,Ruim
116,2200.50,1,0,0.0000000,0,0,0,2,0,2,Ruim
108,2300.00,4,0,0.0000000,0,0,24,19,1,4,Ruim
182,683.33,4,0,0.0000000,0,0,2,1,0,1,Ruim
51,4510.00,1,0,0.0000000,0,0,6,31,3,7,Ruim
81,916.67,1,0,0.0000000,0,0,11,13,2,3,Ruim
82,622.00,1,0,0.0000000,0,0,0,0,0,0,Ruim
155,1166.67,1,0,0.0000000,0,0,2,6,2,6,Ruim
88,5000.00,1,0,0.0000000,0,0,0,1,0,1,Ruim
105,415.00,1,0,0.0000000,0,0,0,2,0,0,Ruim
182,2483.33,1,0,0.0000000,0,0,1,3,0,0,Ruim
